rule,engine,track,cell_id,seed,rep,PP_ms,RTT_ms,loss_pct,msg_bytes,hosts,nodes,qos_params,sent,received,delivery_ratio,late_join_recovered,owner,failover_ms,requested_deadline_missed,offered_deadline_missed,liveliness_lost,reader_not_alive,disposed,no_writers,created,matched,verdict
10,cyclone,loopback,10a826b414ba,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,47.0,,,,,,,true,true,delivered
10,cyclone,loopback,1c1ddbb6f9ab,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,46.8,,,,,,,true,true,delivered
10,cyclone,loopback,31e4a6219f28,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,44.3,,,,,,,true,true,delivered
10,cyclone,loopback,3852e6086159,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,45.1,,,,,,,true,true,delivered
10,cyclone,loopback,3b710b9e3b5e,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,42.7,,,,,,,true,true,delivered
10,cyclone,loopback,45346718ddf2,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,41.2,,,,,,,true,true,delivered
10,cyclone,loopback,49ec5896b909,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,43.1,,,,,,,true,true,delivered
10,cyclone,loopback,52c13e25f22c,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,41.5,,,,,,,true,true,delivered
10,cyclone,loopback,584fd9e42f29,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,46.7,,,,,,,true,true,delivered
10,cyclone,loopback,58659f9252d4,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,46.8,,,,,,,true,true,delivered
10,cyclone,loopback,5a00bdd38113,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,45.5,,,,,,,true,true,delivered
10,cyclone,loopback,6acd0ca4cf2a,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,48.1,,,,,,,true,true,delivered
10,cyclone,loopback,7423b8e65dbc,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,46.4,,,,,,,true,true,delivered
10,cyclone,loopback,83def6ab5441,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,43.4,,,,,,,true,true,delivered
10,cyclone,loopback,c2d92dd06013,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,43.7,,,,,,,true,true,delivered
10,cyclone,loopback,cc56fe31303d,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,46.0,,,,,,,true,true,delivered
10,cyclone,loopback,ce69d3d3ee6f,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,42.4,,,,,,,true,true,delivered
10,cyclone,loopback,d3d8ac323d81,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,324,1.35,,high,46.2,,,,,,,true,true,delivered
10,fastdds,loopback,1123dd3a2671,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,224,0.9333,,high,54.2,,,,,,,true,true,delivered
10,fastdds,loopback,228a5e8da1ad,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,215,0.8958,,high,97.4,,,,,,,true,true,delivered
10,fastdds,loopback,2d9fb2e9d171,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,233,0.9708,,high,405.8,,,,,,,true,true,delivered
10,fastdds,loopback,2fa19762208d,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,218,0.9083,,high,354.5,,,,,,,true,true,delivered
10,fastdds,loopback,4636f0f07f5c,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,233,0.9708,,high,402.4,,,,,,,true,true,delivered
10,fastdds,loopback,591688c0042c,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,183,0.7625,,high,374.7,,,,,,,true,true,delivered
10,fastdds,loopback,6b580aa17e5d,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,233,0.9708,,high,406.8,,,,,,,true,true,delivered
10,fastdds,loopback,7791077513ff,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,235,0.9792,,high,307.7,,,,,,,true,true,delivered
10,fastdds,loopback,85cf83165ac3,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,216,0.9,,high,102.0,,,,,,,true,true,delivered
10,fastdds,loopback,8d6a8a0d896c,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,235,0.9792,,high,305.4,,,,,,,true,true,delivered
10,fastdds,loopback,985ba41fbedb,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,182,0.7583,,high,262.2,,,,,,,true,true,delivered
10,fastdds,loopback,a2292033deb3,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,236,0.9833,,high,263.6,,,,,,,true,true,delivered
10,fastdds,loopback,afddd67940af,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": -1, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,233,0.9708,,high,405.8,,,,,,,true,true,delivered
10,fastdds,loopback,c9e5f67b4424,20260630,2,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,240,1.0,,high,63.5,,,,,,,true,true,delivered
10,fastdds,loopback,e606c1e506a0,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": 300, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,189,0.7875,,high,252.9,,,,,,,true,true,delivered
10,fastdds,loopback,e7cf3e5226d0,20260630,1,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""stop"", ""ownership"": ""EXCLUSIVE""}",240,239,0.9958,,high,105.3,,,,,,,true,true,delivered
10,fastdds,loopback,f7465cb7a9d8,20260630,0,50,1,0,1024,3,3,"{""deadline_ms"": 100, ""high_action"": ""delete"", ""ownership"": ""EXCLUSIVE""}",240,215,0.8958,,high,62.4,,,,,,,true,true,delivered
